Turn,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Inital score,Score
21,2,0,1,20,2,0,2,1,1,0,0,0,0,0,18,15,0,0,1,0,0,0,100597,2147483647
23,2,0,0,21,5,0,1,1,2,0,0,2,0,0,20,13,1,1,1,0,0,0,870,2147483647
25,2,0,0,20,6,1,1,0,1,0,0,4,0,0,25,11,1,1,1,0,0,0,-697,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,85
5,0,0,0,9,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,475,-80
7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,-20,570
9,0,0,0,11,1,1,0,0,1,0,0,0,0,0,16,4,0,0,0,0,0,0,535,200
11,0,0,0,13,3,1,0,0,0,0,0,0,0,0,16,5,1,0,0,0,0,0,-40,-480
13,0,0,0,10,8,1,1,0,0,0,0,0,0,0,15,9,1,0,0,0,0,0,-5,-510
15,0,0,0,13,8,0,1,0,1,0,0,0,0,0,18,10,1,0,0,0,0,0,390,930
